region,sales,units,date
South,101.05,39,2024-01-01
South,182.96,32,2024-01-02
East,55.97,23,2024-01-03
North,115.56,39,2024-01-04
north ,126.4,21,2024-01-05
South,,24,2024-01-06
South,,47,2024-01-07
East,,26,2024-01-08
East,,49,2024-01-09
East,,8,2024-01-10
North,,27,2024-01-11
East,103.2,35,2024-01-12
north ,123.6,18,2024-01-13
East,99.51,44,2024-01-14
South,62.29,39,2024-01-15
north ,114.86,25,2024-01-16
South,93.33,21,2024-01-17
North,91.22,49,2024-01-18
South,65.09,29,2024-01-19
north ,112.04,33,2024-01-20
South,86.06,39,2024-01-21
South,106.05,32,2024-01-22
north ,131.39,30,2024-01-23
north ,102.72,1,2024-01-24
north ,86.21,33,2024-01-25
South,103.38,48,2024-01-26
north ,121.45,4,2024-01-27
north ,105.65,27,2024-01-28
East,96.45,11,2024-01-29
South,141.66,13,2024-01-30
North,99.6,41,2024-01-31
north ,104.46,20,2024-02-01
north ,107.74,26,2024-02-02
East,107.85,34,2024-02-03
East,83.2,40,2024-02-04
north ,86.53,41,2024-02-05
north ,101.52,4,2024-02-06
North,88.72,46,2024-02-07
north ,129.91,9,2024-02-08
north ,100.78,11,2024-02-09
north ,107.5,40,2024-02-10
north ,109.99,11,2024-02-11
East,92.1,15,2024-02-12
north ,114.54,19,2024-02-13
North,101.62,11,2024-02-14
South,129.49,43,2024-02-15
South,92.19,12,2024-02-16
East,111.09,12,2024-02-17
East,91.13,22,2024-02-18
South,87.5,28,2024-02-19
South,127.13,42,2024-02-20
South,103.78,5,2024-02-21
north ,68.67,1,2024-02-22
North,99.19,19,2024-02-23
East,99.33,9,2024-02-24
South,68.93,21,2024-02-25
South,123.26,1,2024-02-26
North,73.16,22,2024-02-27
North,137.89,13,2024-02-28
north ,101.94,29,2024-02-29
North,125.2,48,2024-03-01
North,87.91,22,2024-03-02
South,129.56,32,2024-03-03
East,62.24,10,2024-03-04
north ,113.46,21,2024-03-05
north ,63.74,41,2024-03-06
South,69.24,47,2024-03-07
north ,99.49,5,2024-03-08
East,86.56,27,2024-03-09
North,84.47,21,2024-03-10
north ,93.94,41,2024-03-11
north ,138.72,12,2024-03-12
north ,88.03,21,2024-03-13
East,79.46,15,2024-03-14
East,121.88,14,2024-03-15
South,120.29,25,2024-03-16
East,89.19,17,2024-03-17
South,114.93,22,2024-03-18
North,74.63,11,2024-03-19
North,98.42,41,2024-03-20
North,92.38,45,2024-03-21
North,95.42,2,2024-03-22
North,87.38,16,2024-03-23
north ,71.23,10,2024-03-24
East,114.46,3,2024-03-25
South,91.33,47,2024-03-26
North,101.51,3,2024-03-27
North,86.6,39,2024-03-28
north ,110.13,18,2024-03-29
South,113.7,16,2024-03-30
